IUG,IUG
A0002503253,A0002503253
A0002504705,A0002504705
A0002505147,A0002505147
A0002505169,A0002505169
A0002505397,A0002505397
A0002505614,A0002505614
A0002505686,A0002505686
A0002505947,A0002505947
A0002507078,A0002507078
A0002507603,A0002507603
A0002507752,A0002507752
A0002508150,A0002508150
A0002509244,A0002509244
A0002509342,A0002509342
A0002509899,A0002509899
A0002513189,A0002513189
A0002513493,A0002513493
A0002513582,A0002513582
A0002514147,A0002514147
A0002514185,A0002514185
A0002514208,A0002514208
A0002515347,A0002515347
A0003000263,A0003000263
A0003002214,A0003002214
A0003002699,A0003002699
A0003002739,A0003002739
A0003003313,A0003003313
A0003003335,A0003003335
A0003003636,A0003003636
A0003004161,A0003004161
A0003005699,A0003005699
A0003006474,A0003006474
A0003007551,A0003007551
A0003010305,A0003010305
A0003011773,A0003011773
A0003011781,A0003011781
A7002504621,A7002504621
A7002507680,A7002507680
A7002507683,A7002507683
A7002507688,A7002507688
A7002507902,A7002507902
A7009111140,A7009111140
A7009119578,A7009119578
A7009153453,A7009153453
AE000000506,AE000000506
AO000000014,AO000000014
AS009114536,AS009114536
AT080009254,AT080009254
BH000035108,BH000035108
BH000035200,BH000035200
BH000035250,BH000035250
BH000035341,BH000035341
BH000035431,BH000035431
BK009117571,BK009117571
BK009117628,BK009117628
BK009117687,BK009117687
BK009117690,BK009117690
BK009117701,BK009117701
BK009117721,BK009117721
BK009117808,BK009117808
BK009117854,BK009117854
BK009117927,BK009117927
BK009118063,BK009118063
BK009118084,BK009118084
BK009118103,BK009118103
BK009118111,BK009118111
BK009118115,BK009118115
BK009118117,BK009118117
BK009118121,BK009118121
BK009118138,BK009118138
BK009118157,BK009118157
BK009118161,BK009118161
BK009118186,BK009118186
BK009118283,BK009118283
BK009118374,BK009118374
BK009118377,BK009118377
BK009118386,BK009118386
BK009118489,BK009118489
BK009118534,BK009118534
BK009118558,BK009118558
BK009118560,BK009118560
BK009118561,BK009118561
BK009118627,BK009118627
BK009118632,BK009118632
BK009118828,BK009118828
BK009118839,BK009118839
BK009118850,BK009118850
BK009118934,BK009118934
BK009118943,BK009118943
BK009118966,BK009118966
BK009118967,BK009118967
BK009118974,BK009118974
BK009118984,BK009118984
BK009118992,BK009118992
BK009118994,BK009118994
BK009118998,BK009118998
BK009119001,BK009119001
BK009119002,BK009119002
BK009119008,BK009119008
BK009119029,BK009119029
BK009119084,BK009119084
BK009119110,BK009119110
BK009119126,BK009119126
BK009119169,BK009119169
BK009119325,BK009119325
BK009119327,BK009119327
BK009119330,BK009119330
BK009119359,BK009119359
BK009119403,BK009119403
BK009119415,BK009119415
BK009119417,BK009119417
BK009119453,BK009119453
BK009119502,BK009119502
BK009119534,BK009119534
BK009119537,BK009119537
BK009119571,BK009119571
BK009119596,BK009119596
BK009119628,BK009119628
BK009119644,BK009119644
BK009119647,BK009119647
BK009119940,BK009119940
BK009119941,BK009119941
BK009119944,BK009119944
BK009119946,BK009119946
BK009119947,BK009119947
BK009119950,BK009119950
BK009120002,BK009120002
BK009120007,BK009120007
BK009120014,BK009120014
BK009120031,BK009120031
BK009120038,BK009120038
BK009120043,BK009120043
BK009120048,BK009120048
BK009120061,BK009120061
BK009120076,BK009120076
BK009120124,BK009120124
BK009120136,BK009120136
BK009120161,BK009120161
BK009120166,BK009120166
BK009120374,BK009120374
BK009120521,BK009120521
BK009120524,BK009120524
BK009120531,BK009120531
BK009120570,BK009120570
BK009120818,BK009120818
BK009120827,BK009120827
BK009120940,BK009120940
BK009121152,BK009121152
BK009121225,BK009121225
BK009121314,BK009121314
BK009121328,BK009121328
BK009121351,BK009121351
BK009121398,BK009121398
BK009121439,BK009121439
BK009121447,BK009121447
BK009121454,BK009121454
BK009121463,BK009121463
BK009121560,BK009121560
BK009121584,BK009121584
BK009121655,BK009121655
BK009121684,BK009121684
BK009121771,BK009121771
BK009121815,BK009121815
BK009122151,BK009122151
BK009122226,BK009122226
BK009122281,BK009122281
BK009122296,BK009122296
BK009122424,BK009122424
BK009122485,BK009122485
BK009122529,BK009122529
BK009122531,BK009122531
BK009122589,BK009122589
