command,dn,member
insert,"CN=G_USR_Commun_UtilisateursW7_R01,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=tarte.omarron,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@DOSIP.IT.GPS-Externes,OU=Organisationnelle,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=ecco.umberto,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=D_G_PCA.PACIFICA,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=marcel.martin,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=D_G_PCA.PACIFICA,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=lieutenant.colombo,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Directeurs,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=beans.jack,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Directeurs,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=sam.gamegie,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Directeurs,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=bilbo.sacquet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=svp,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=gandalf.legris,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=securite.informatique,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=marcel.martin,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=securite.informatique,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=lieutenant.colombo,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Dipt,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=beans.jack,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Dipt,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=frodon.sacquet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Dipt,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=bilbo.sacquet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=svp.pelican,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=ecco.umberto,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=D_G_Infocentre_UGP,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=test8.test2,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=D_G_DirPART,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=saucissonmouamba.bon,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=D_G_DirPART,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=test.attaf,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=f.d,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=is_f01_cdi.luangkhot,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=test23.test12,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=cdi_s00.luangkhot,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=test37.luangkhot,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=grappe.tomate,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=cerise.tomate,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=test34.luangkhot,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=toto.gesrt,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=test-mm.testjj,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=test-33.luangkhot,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=viengthongc.luangkho,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=julien.desportes,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=fghfg.dsdf,OU=S03,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=maire.julien,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=laa.chocco,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=viengthonga.luangkho,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=ppm.test-clarity,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=viengthong222.luangk,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=viengthongy.luangkho,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=viengthongf.luangkho,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=test844.test233,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=fgfdgdf.sqqsdfdsdf,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=gg.dd,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=test22.test11,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=ggg.ddd,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=viengthong316.luangk,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=rouge.tomate,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=viengthong315.luangk,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=viengthong314.luangk,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=coco.gtgt,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=test333.luangkhot,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=viengthong313.luangk,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=jtyjgj.sddsdsd,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=viengthong221.luangk,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=ffgh.fsdf,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=viengthongz.luangkho,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=test36.luangkhot,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=viengthongqwe.luangk,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Infocentre_Finance,OU=Infocentre,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=viengthongd.luangkho,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=ORG_DSIN_POLKA_S09_AS,OU=Bureautique,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=laura.abbas,OU=S09,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=ORG_DSIN_POLKA_S09_AS,OU=Bureautique,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=josette.superman,OU=S09,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=ORG_DSIN_POLKA_S09_AS,OU=Bureautique,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=laura.albertazzi,OU=S09,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@DPART.OFFRE.COORD-Pacifica,OU=Organisationnelle,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=laurence.dauger,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Clarity,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=michelle.laforet,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Clarity,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=jajaw.testjes,OU=S06,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=svp.reseau,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=ggggh.ddddd,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=svp.reseau,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=hhhhh.zzzzz,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=svp.reseau,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=sebastien.carbonne,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=ORG_DOSIP_AOP_GPSD,OU=Bureautique,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=annul.test,OU=SJ3,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=ORG_DOSIP_AOP_GPSD,OU=Bureautique,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=buy.food,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=ORG_DOSIP_AOP_GPSD,OU=Bureautique,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=toto.goof,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@DOSIP.AOP.IT.SSI-Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=test.oracle,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@DOSIP.AOP.IT.SSI-Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=tarte.opoire,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@DOSIP.AOP.IT.SSI-Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=year.good,OU=S01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@DOSIP.AOP.IT.SSI-Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=morning.good,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@DOSIP.AOP.IT.SSI-Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=marcel-pierre.m'mbap,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=DPART.FICHES,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=saucissonmouamba.bon,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=DPART.FICHES,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=dfgdfd.wcwdcw,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=DPART.FICHES,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=fgjhj.sdfsdf,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=DPART.FICHES,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=client.adjoint,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantS09,OU=S09,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=laura.abbas,OU=S09,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantS09,OU=S09,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=stephane.mercier,OU=S06,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantS09,OU=S09,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=josette.superman,OU=S09,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=AssistantS09,OU=S09,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=julie.chamel,OU=S09,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Fiche_evol_MOE_et _resp,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=mke.nguyen-rarivoran,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Fiche_evol_MOE_et _resp,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=eclair.ochocolat,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Fiche_evol_MOE_et _resp,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=jason.smithy,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Fiche_evol_MOE_et _resp,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=tarte.opoire,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Fiche_evol_MOE_et _resp,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=kante.ngolojiouedipa,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Fiche_evol_MOE_et _resp,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=hhh.fsdfds,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Fiche_evol_MOE_et _resp,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=loic.nguyen-rastapop,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Fiche_evol_MOE_et _resp,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=enrico.fermi,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Fiche_evol_MOE_et _resp,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=melanie.solonie,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Fiche_evol_MOE_et _resp,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=alacarotte.tarte,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Fiche_evol_MOE_et _resp,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=marco.polo,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Fiche_evol_MOE_et _resp,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=jean-luc.lavielliers,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=ORG_DMAP_AGRI_CLIM,OU=Bureautique,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=romain.gerard,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=ORG_DSIN_POLORGA_ETUDPLANIF,OU=Bureautique,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=sacha.test,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Etudes Statistiques & Actuariat,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=test.attaf,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@DOSIP.AOP.SPP.SPR-Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=rond.tomate,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@DOSIP.AOP.SPP.SPR-Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=pascale.strullu,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_USR_Commun_UtilisateursW7_T01,OU=Windows7,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=not_s00_cdi_v2.luang,OU=T01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=EncadrementS05,OU=S05,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=alexandre.vuckovic,OU=S05,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=EncadrementS05,OU=S05,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=julie.chamel,OU=S09,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=ORG_DPART_ACTU_AGRIPRO,OU=Bureautique,OU=Groupes Globaux,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=test.attaf,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@VRN.PTF.MTR-Pacifica,OU=Organisationnelle,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=norbere.jaffeux,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@VRN.PTF.MTR-Pacifica,OU=Organisationnelle,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=toto.tester,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@VRN.PTF.MTR-Pacifica,OU=Organisationnelle,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=cyndie.lavarec,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@VRN.PTF.MTR-Pacifica,OU=Organisationnelle,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=cedric.jaffeux,OU=R01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=Preetude,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr","CN=saucissonmouamba.bon,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Qlik_DAPPTF_MP,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=romain.gerard,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=G_Qlik_DAPPTF_MP,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=laurence.dauger,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@DOSIP.AOP.IIP.DAO-Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=afternoon.good,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=@DOSIP.AOP.IIP.DAO-Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=momen.atoo,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=D_G_Re7-ie-Agri,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=romain.gerard,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=D_G_Re7-ie-Agri,OU=Pacifica,OU=Distribution,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=laurence.dauger,OU=Pacifica,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_EZOPTIMA_IARD,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=stephane.mercier,OU=S06,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_EZOPTIMA_IARD,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=josette.superman,OU=S09,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_EZOPTIMA_IARD,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=sgsfg.sdfsdf,OU=S01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_EZOPTIMA_IARD,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=fghfg.dsdf,OU=S03,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_EZOPTIMA_IARD,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=portable.pc,OU=S01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_EZOPTIMA_IARD,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=year.good,OU=S01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_EZOPTIMA_IARD,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=adeline.lavolee,OU=S05,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_EZOPTIMA_IARD,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=dgd.dfs,OU=S01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_EZOPTIMA_IARD,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=retest.test,OU=S06,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_EZOPTIMA_IARD,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=celine.jaffeux,OU=S01,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
insert,"CN=GS_EZOPTIMA_IARD,OU=Groupes,DC=ca-pacificadev,DC=fr","CN=julien.chaine,OU=S03,OU=Utilisateurs,DC=ca-pacificadev,DC=fr"
